benchmark,algorithm,trace,t_total,t_exec,t_checkpoint,t_recharge,t_rest
dijkstra,rockclimb,4,197.28621644,0.025736259999999997,1.77773823,195.49809208000002,-0.015350130000016504
dijkstra,rockclimb,5,141.39654281,0.025736259999999997,1.77773823,139.60972947,-0.01666114999999091
dijkstra,rockclimb,6,62.593476450000004,0.025736259999999997,1.77773823,60.80768527,-0.01768330999999601
dijkstra,rockclimb,7,106.02267318999999,0.025736259999999997,1.77773823,104.23747118000001,-0.01827248000002224
dijkstra,rockclimb,8,159.45814124,0.025736259999999997,1.77773823,157.67253680000002,-0.01787005000001396
dijkstra,rockclimb,9,153.39157342,0.025736259999999997,1.77773823,151.60643695,-0.018338020000002286
dijkstra,rockclimb,10,137.97113976,0.025736259999999997,1.77773823,136.18574651,-0.01808124000000144
dijkstra,schematic,1,2.74330828,0.025736259999999997,0.08797391,2.62751065,0.0020874599999998744
dijkstra,schematic,2,4.33969362,0.025736259999999997,0.08797391,4.22386543,0.0021180200000002203
dijkstra,schematic,3,1.38099942,0.025736259999999997,0.08797391,1.26512225,0.0021670000000000855
dijkstra,schematic,4,16.4841102,0.025736259999999997,0.08797391,16.36826597,0.0021340600000004373
dijkstra,schematic,5,12.41149481,0.025736259999999997,0.08797391,12.29566048,0.002124160000000208
dijkstra,schematic,6,5.18173667,0.025736259999999997,0.08797391,5.06591958,0.0021069200000001786
dijkstra,schematic,7,9.16641431,0.025736259999999997,0.08797391,9.05059644,0.0021077000000007673
dijkstra,schematic,8,11.603642259999999,0.025736259999999997,0.08797391,11.48779232,0.0021397699999985975
dijkstra,schematic,9,13.35334435,0.025736259999999997,0.08797391,13.23753545,0.0020987300000011033
